DatasetID,year1,author1,DATA (B) 0.1,ERR-2 (PER-CENT) 0.944,ERR-3 (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,MONIT-ERR (PER-CENT) 0.955,EN-MIN (EV) 1.2,EN-MAX (EV) 1.3,MISC (SEE TEXT) 777,EN-NRM-MAX (EV) 777,EN-NRM-MIN (EV) 777,MONIT (B*EV) 777,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
234530022,2019,S.Amaducci+,14.84,1.54,0.2,0.37,,1.2,1.58,1.78,1.55,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,14.85,1.52,0.2,0.37,,1.2,1.78,2,1.54,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,17.16,1.4,0.2,0.37,,1.2,2,2.24,1.42,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,10.74,1.76,0.21,0.37,,1.2,2.24,2.51,1.77,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,9.15,1.88,0.21,0.37,,1.2,2.51,2.82,1.9,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,30.15,1.03,0.22,0.37,,1.2,2.82,3.16,1.05,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,28.69,1.05,0.22,0.37,,1.2,3.16,3.55,1.07,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,29.92,1.02,0.22,0.37,,1.2,3.55,3.98,1.07,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,2.72,3.35,0.23,0.37,,1.2,3.98,4.47,3.35,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,7.8,1.96,0.23,0.37,,1.2,4.47,5.01,1.99,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
